date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3,PCP,PCP_lag1,PCP_lag2,PCP_lag3,wt,chl,Green,Red,Blue_Green,Red_NIR
2022-04-11,29,7.59,7.93,8.15,8.53,7.289074318059825,6.7430292840128905,5.921949556918881,4.871151925665408,0.008493753964768458,0.006640862173649058,0.004672233583276527,0.0050339759454648084,0.0,0.0,0.0,0.0,19.5,66.7,0.0853891396310431,0.0919831917938931,0.7068581186655405,0.7146350565042
2022-04-20,29,17.1,20.1,23.8,27.8,3.6549707602339176,3.1670351943983777,2.674680983504513,2.0983213429256593,0.0043318171973142725,0.0034722222222222216,0.0034090024898848423,0.005079269917399413,0.0,0.0,0.0,0.0,18.3,117.3,0.083707606263982,0.0843591722595078,0.813408919725092,0.853729162638025
2022-04-26,29,14.6,9.57,9.99,11.2,3.377092846270928,4.547389604860869,4.715363511659808,4.577959656084657,0.12842465753424656,0.02551859592089477,0.0036610684758832906,0.004174933862433863,16.0,3.5,0.0,0.0,20.6,86.7,0.0855094236260827,0.0895354981235703,0.665468140022182,0.6145179502963805
2022-05-02,29,16.9,18.7,19.8,19.5,2.6914858645627873,2.147702515349574,2.180368499812944,3.341642924976258,0.006451347797501643,0.008355614973262033,0.02653853348297792,0.14304368471035137,0.0,0.0,0.0,10.0,17.5,125.5,0.0849431043256997,0.0868237054707378,0.667941647248117,0.5946300813754365
2022-05-18,29,5.78,5.86,5.9,6.05,5.726963988209662,5.866040955631398,4.747332077840552,4.419191919191919,0.004064942970652312,0.0036736822146378454,0.004551161330822347,0.004916590143862871,0.0,0.0,0.0,0.0,21.1,61.9,0.094541184727681,0.094974915777653,0.799250675587477,0.772342326081577
2022-05-24,29,5.6,5.65,5.58,5.66,5.146329365079366,4.85496558505408,5.57961635470596,6.339157178379793,0.0029968584656084657,0.0036258603736479835,0.0032357626443647947,0.005439405836932338,0.0,0.0,0.0,0.0,24.7,45.1,0.0918739612577203,0.09356677428411,0.83472726037791,1.02811601189303
2022-05-30,29,7.04,7.42,7.68,7.71,4.6690867003367,4.710741739043625,4.460841049382716,4.293365998943171,0.0026962331649831644,0.004071203953279424,0.012915340470679012,0.01801412307248883,0.0,0.0,0.0,0.0,24.6,78.2,0.0955973329590118,0.0992493121841662,0.786710259650657,0.833118140783041
2022-06-21,29,12.6,14.5,16.6,18.9,3.5916372721928274,2.897509578544061,2.6982931726907626,2.278071722516167,0.0018371546149323925,0.0019795657726692207,0.0033536925479696555,0.005162404467960023,0.0,0.0,0.0,0.0,28.2,178.3,0.0845406281806614,0.0793036100508905,0.629741956407412,0.4733467003209255
2022-07-25,29,58.0,63.2,63.3,60.9,1.3589559386973178,3.204846460384435,3.1083611257386927,2.147570394696831,0.012192688378033204,0.03919069385841537,0.0810002340413083,0.03629964118469865,0.0,7.5,23.0,0.0,26.8,13.0,0.0885574256035934,0.0832674620999438,0.826801291426129,0.820760666434005
2022-08-31,29,160.0,141.0,20.4,22.9,3.009259259259259,2.0193065405831363,3.897739651416122,2.0418890506226752,0.08246527777777778,0.2831954294720252,0.03466548656499637,0.003133592107391234,8.0,39.5,6.0,0.0,20.7,18.4,0.0523010591603053,0.0475582538167938,0.716918998400798,0.864328364429405
2022-09-21,29,15.4,17.3,19.6,23.0,4.141113516113515,3.585955898094626,3.100198412698412,2.7073268921095006,0.004952801827801827,0.004522586169985013,0.003590325018896447,0.003165257648953301,0.0,0.0,0.0,0.0,22.4,59.9,0.0720992048346055,0.0693790139949109,0.619802514139525,0.72772551363612
2022-09-27,29,11.0,11.2,11.8,12.4,5.029461279461279,4.43328373015873,4.580586942875078,3.9295848267622455,0.005734427609427609,0.006221064814814815,0.0054143126177024475,0.0056563620071684575,0.0,0.0,0.0,0.0,21.1,42.9,0.068882046603032,0.0690745508141493,0.742744993585942,0.825280588815456
2022-10-12,29,55.2,62.8,68.3,71.0,1.1804716854535693,1.0800011795234725,3.2705655875494823,2.9342723004694835,0.005640264358561459,0.013453939608398207,0.052871319342768834,0.10416666666666666,0.0,0.0,2.0,19.5,15.9,6.2,0.0560697472085509,0.0531503681825029,0.688064404866614,0.8418268826097715
2022-10-17,29,21.2,25.4,31.1,38.3,2.833464360587002,2.838837853601633,2.143622722400857,1.6137220771685523,0.0033575733752620545,0.004830125400991542,0.004391449327140645,0.004230732037520549,0.0,0.0,0.0,0.0,18.9,8.4,0.0630187874351306,0.0629477399283216,0.7343081263683843,0.9274356499961692
2022-10-25,29,10.9,11.3,11.9,12.5,4.565919130139313,4.4555063913470985,4.756069094304388,4.314814814814815,0.00525611620795107,0.00478326778105539,0.005631419234360411,0.005518518518518518,0.0,0.0,0.0,0.0,14.8,6.7,0.0647337310499719,0.0651986243683324,0.775007237386323,0.928626528089031
